,age,breeds,description,media,name,pet_id,sex,size,status
10,Young,"Boxer, Terrier","DIANA is a 10 month old female pup! DIANA LOVES other dogs! She is sweet, playful & friendly!! Diana would do well with children (12+)! DIANA needs a FOSTER or ADOPTER to save her!! For more info or to FOSTER or ADOPT, call or text message 908-892-8166 or email HunterdonSomersetARC@gmail.com","['http://photos.petfinder.com/photos/pets/43289176/1/?bust=1542166738', 'http://photos.petfinder.com/photos/pets/43289176/2/?bust=1542166772', 'http://photos.petfinder.com/photos/pets/43289176/3/?bust=1542166834', 'http://photos.petfinder.com/photos/pets/43289176/4/?bust=1542166864', 'http://photos.petfinder.com/photos/pets/43289176/5/?bust=1542166864']",DIANA,43289176,F,M,A
11,Adult,Black Mouth Cur,"Hi there! I'm Candie and I am currently interviewing people to be part of my forever family! This is a very special position because whoever I choose will reap the benefits of a sweet, loving dog who is loyal and will love you forever! This person must enjoy strolls through the park and playtime. Those who bring me yummy treats will be instantly placed on the list of people I love. Please ask a staff member today if we can take some time to get to know one another!
","['http://photos.petfinder.com/photos/pets/43560410/1/?bust=1544990034', 'http://photos.petfinder.com/photos/pets/43560410/2/?bust=1544990036', 'http://photos.petfinder.com/photos/pets/43560410/3/?bust=1544990037']",Candie,43560410,F,M,A
12,Adult,"Pit Bull Terrier, Mixed Breed","!!! ONLY Available to Love Local Partners with ACCT Philly !!! MUST *LEAVE* BY 12/29, 5PM Charlie A40441149 Intake Type: Seized, found RAL Medical Observation: Chronic decubital ulcer RFL, underweight. May need surgical debridement and attempted closure vs. ongoing medical management/bandage changes. BCS= 3/9 Behavior Observation: Per vet staff: Very friendly, allowed all handling with minimal restraint. Knows sit, but very grabby for treats- recommend giving open-handed. Per handlers: Housetrained! Personality: Sweet. Found running lose by horse stables. This animal is currently available through ACCT Phillys Adoptions Programs. We encourage you to visit our shelter during our adoption hours to view our complete selection of available animals. In preparation for you visit, please make sure to visit http://www.acctphilly.org/adopt/ to review our adoption requirements, hours of operation, upcoming events, and more! Is this your missing pet? If you believe so, please make sure to follow the instructions listed at http://www.acctphilly.org/lostpet/ so that we can make sure that you are reunited as soon as possible! ","['http://photos.petfinder.com/photos/pets/43630499/1/?bust=1545918464', 'http://photos.petfinder.com/photos/pets/43630499/2/?bust=1545918478', 'http://photos.petfinder.com/photos/pets/43630499/3/?bust=1545918484']",Charlie,43630499,M,M,A
13,Young,"Retriever, Hound","No one came for him and he was still waiting when we learned he was scheduled to be euthanized that morning.   He was never given a name and the person who was going to adopt him wanted to wait until he was home and then would be named.  That never happened.  When we learned he was headed to be put down we asked the lady who was picking up other shelter dogs for us to swing by and get him to.   

This sweet ""unwanted"" young boy is friendly, well mannered and playful.  He's been fully evaluated by our trainer and the written report can be found on his Facebook page at:
A rescue's journey- Meet Buddy

Buddy is around 1 and a half years old and weighs in at 41lbs.  He's been fully vetted, neutered, microchipped and is heart worm negative and one preventative.  He's been fully quarantined the two weeks since rescue and is ready to be transported to an approved adopter.

This handsome boy comes with a warranty as our adoption contract provides for a good fit with all our adoptions.   To fill out an online application for Buddy go to:
http://www.diamonddogsrescueinc.com/online-adoption-application.html
","['http://photos.petfinder.com/photos/pets/43617271/1/?bust=1545618963', 'http://photos.petfinder.com/photos/pets/43617271/2/?bust=1545618964', 'http://photos.petfinder.com/photos/pets/43617271/3/?bust=1545618964', 'http://photos.petfinder.com/photos/pets/43617271/4/?bust=1545618964', 'http://photos.petfinder.com/photos/pets/43617271/5/?bust=1545618965', 'http://photos.petfinder.com/photos/pets/43617271/6/?bust=1545618965']",Buddy,43617271,M,M,A
14,Adult,"Maltese, Terrier","Patrick is currently in foster. If you would like to meet Patrick please contact us at foster@nyanimalrescue.org

Patrick is our 7 year old Maltese mix......Patrick is not a fan of new people and needs someone that will be willing to work slowly with him to gain his trust. Patrick will only be adopted out to an experienced dog owner who understands and will work with these issues. Patrick loves snuggling with his foster mom which showed us that he can trust and love with time and patience. He also loves going out for walks and playing on the beach. Patrick gets along with cats and other small dogs. 

Patrick is neutered, dewormed and is up to date with vaccinations. His adoption fee is $300.00, plus $8.50 for the dog license if you are a resident of NYC. He will get one free exam at our vet's office, one free month of pet health insurance and he is microchipped. 

If you'd like to meet Patrick please email us at foster@nyanimalrescue.org

Sean Casey Animal Rescue
153 E. 3 St.
Brooklyn, NY 11218 
www.nyanimalrescue.org
NYS Department of Agriculture and Markets Registration No. RR160","['http://photos.petfinder.com/photos/pets/36464330/1/?bust=1476322151', 'http://photos.petfinder.com/photos/pets/36464330/2/?bust=1490146356', 'http://photos.petfinder.com/photos/pets/36464330/3/?bust=1522849106', 'http://photos.petfinder.com/photos/pets/36464330/4/?bust=1522849107']",Patrick,36464330,M,S,A
15,Adult,"American Staffordshire Terrier, Labrador Retriever","If you're into big, mushy hugs , then look no further, Carter gives the best hugs. Rest assured, he means no harm when he runs and jumps on you. He is actually quite gentle and doing nothing other than expressing his love for you. At 2 years old, Carter was found as a stray, therefore we don't know much about his past. But we see a bright future ahead of him. Affectionate and well-behaved, this chilled out dude is quite mellow for his age. He's looking for a family that will give him as much love, maybe even more, as he's willing to give.","['http://photos.petfinder.com/photos/pets/43550985/1/?bust=1544881451', 'http://photos.petfinder.com/photos/pets/43550985/2/?bust=1544881471', 'http://photos.petfinder.com/photos/pets/43550985/3/?bust=1544881476', 'http://photos.petfinder.com/photos/pets/43550985/4/?bust=1544881482', 'http://photos.petfinder.com/photos/pets/43550985/5/?bust=1545144703']",Carter,43550985,M,M,A
16,Baby,"Labrador Retriever, Beagle","Meet Pinto, heâs 12 weeks old and weighs just 14 pounds currently.  Heâs a Beagle and Lab Mix.  He is living in a Foster Home in NYC and is ready for adoption.

Pinto is super energetic and playful. Heâs very friendly and loves everyone.  Heâs great with other dogs and the cats he meets and just wants to play and cuddle.  Heâs up to date with all his vaccinations.

For more information about Pinto please email Leanna@ALRcares.com and complete an application on our website www.ALRcares.com.","['http://photos.petfinder.com/photos/pets/43472596/1/?bust=1544128540', 'http://photos.petfinder.com/photos/pets/43472596/2/?bust=1544885107', 'http://photos.petfinder.com/photos/pets/43472596/3/?bust=1544564273', 'http://photos.petfinder.com/photos/pets/43472596/4/?bust=1544564274', 'http://photos.petfinder.com/photos/pets/43472596/5/?bust=1544564274', 'http://photos.petfinder.com/photos/pets/43472596/6/?bust=1544564275']",Pinto,43472596,M,M,A
17,Young,Pit Bull Terrier,"Gizmo is 3 years old and will sit for treats. He likes to play with dogs his size. Bring yours along for a meet and greet! 

For more information, please call the Pike County Humane Society at  (570)296-7654 or send Email to pikecountyhs@gmail.com.Please Note: Petfinder listings may not always be up to date! Please call the shelter to make sure this dog is still available. All dogs and cats are micro-chipped for their protection.","['http://photos.petfinder.com/photos/pets/41690271/1/?bust=1526963229', 'http://photos.petfinder.com/photos/pets/41690271/2/?bust=1526963231']",Gizmo,41690271,M,M,A
18,Baby,"Hound, Terrier"," 
Please note that the pups that you see in these pictures have been adopted. However we regularly rescue pups like these from India who are available for adoption in the US. We are looking for fosters or volunteers in New Jersey for our IN pups/dogs rescued from the streets of India. We need committed foster homes for our pups who will take care of them when they are in the U.S. till a forever home is found. We are also looking for volunteers who is willing to fly with the dogs. It is extremely expensive to fly the dogs solo from India to the U.S; however it is lot cheaper if you are flying with the dogs. If you are visiting Delhi (where we have foster homes) or surrounding cities in India and would like to help us rescue a pup or two from the streets by flying them with you back home to the U.S. please contact us. Please email Rescuewithoutborders@gmail.com for more information. More Information: Desi (Local) or IN (Indian Native) or Pariah Dog is a natural primitive breed which is a direct descendant of the early domesticated dogs. Its truly a pure breed whose origin dates back 12,000 to 15,000 years â older than any other breed 
We are very proud to be a Rescue without borders. So, what does it mean to be a rescue without borders? In the last 18 months we were able to rescue, rehabilitate and find homes for over 90 IN dogs in the U.S. and Canada. We rescue and adopt within the U.S. irrespective of state borders, but now you may be wondering, why India? Typically in India, dogs that are born on the streets are not kept as family pets. Most people cannot afford to keep a dog as a pet and those who do prefer a western breed as a status symbol. So these street dogs spend their entire lives on the streets in deplorable conditions. Most of the pups that are born on the streets will get killed by passing cars, or die of starvation or malnutrition. These dogs/ pups often become victims of cruelty as some people resort to cruel measures to get rid of them from their streets. The average life span of a dog living on the streets of India is 3 years during which time they continue to live starving miserable life full of abuse and suffering; however when these same dogs when given a chance to live in a home as family pets will live a healthy life of up to 16-18 years. That is why we rescue these dogs to give them an opportunity to be a part of a family and to live their life in a comfort and safety of a loving home. 
Please email Rescuewithoutborders@gmail.com for more information.
Check out our Rescue's Face book page to see our IN Dogs adopted all over North America. http://www.facebook.com/RescueWithoutBorders
More Info on this breed --- Desi (Local) or IN (Indian Native) or Pariah Dog is a pure, ancient, indigenous dog of India that abounds the Indian streets. A long time ago, and thousands of years before the arrival of modern pure breeds, a race of dogs much like this one inhabited the Indian subcontinent. These were the very first domestic dogs and Man's earliest animal companions. It has evolved entirely through natural selection without human intervention of any kind resulting into a very hardy, extremely intelligent, alert and independent thinking dog. 
This is a natural primitive breed which is a direct descendant of the early domesticated dogs. These dogs are found to be genetically healthy with no known genetic diseases and a very strong immune system. This is a natural breed of dog that is pure in a true sense and is how nature intended a dog to be; hence they are way superior to the artificially developed man made breeds that we call pure breeds today. Its origin dates back 12,000 to 15,000 years â older than any other breed. They are perfectly adapted for survival; a free-roaming life on the street for these dogs is always difficult and often hostile and hence requires high order of intelligence, quick and independent thinking to survive. On the streets it is the survival of the fittest, usually out of a litter some will get run over by cars while others will succumb to hunger and malnutrition. Only the most hardiest and intelligent ones will survive to produce off springs. When this survivor is adopted as a Pet, their owners are often awe struck with their beauty, grace, intelligence, loyalty and hardiness. 
They are highly adaptable, quick learners and versatile and are known to be even smarter and definitely calmer than the intelligent Border Collies. They are very agile and excel at many dog sports such as agility and also make great jogging/running companions and can be even faster than Grey Hounds. While active outdoors, they are usually very calm and quiet indoors. They have tremendous stamina and hence need an active family who will take them for a daily brisk walks or a run. 
INDogs dogs are sensitive by nature and do not respond well to harsh training methods and hence need an even tempered, gentle but firm and loving owner who knows how to calmly and consistently communicate the rules of the house.  These dogs love children and are known to have a calm and gentle demeanor around them. They bond strongly with their people and make an excellent family pet that is very loving, loyal and intelligent. These dogs do not bark much but are always alert; they are friendly yet wary of strangers and make good watch dogs. 
Desi dogs are low maintenance dog as they are generally very healthy and like to stay clean; they hardly shed and have virtually no doggy odor. Their smooth, fine short hair coat is easy to groom. They have an all weather coat that allows them to easily adapt to different weather conditions.  A well-looked after pet IN dog will rarely need to see a vet and may live a healthy life of up to the age of 12 â 16 years. This is a medium size dog with an average height of 20-25 inches (51-64 cms) at the shoulder and generally weight about 28-50 pounds (12 â 22 kgs). With pointed ears, a wedge-shaped head and a tail that curls over its back, an IN Dog is similar in appearance to other prehistoric dogs like the Australian dingo.
Please visit the following website to get more info on this breed- http://indog.co.in/ http://indianpariahdog.blogspot.in/search/label/aboriginal%20dogs http://www.dogbreedinfo.com/pariahdog.htm 
Â ",['http://photos.petfinder.com/photos/pets/24894894/1/?bust=1355531481'],Volunteers needed for dogs rescued from India,24894894,M,M,A
19,Adult,Pit Bull Terrier,"Athena is an enthusiastic friend and happy companion. She kisses quickly and wags her big ol' bootie to tell you how much she loves you. She prefers activities that would be considered sedentary.....knitting (you, not her!!) Athena can't knit, she doesn't have thumbs. She can be the cheerleader for all your knitting projects. Athena is a good walking companion. She truly excels at napping assistant. She will sleep on your feet so they never get cold!
","['http://photos.petfinder.com/photos/pets/43561154/1/?bust=1545007133', 'http://photos.petfinder.com/photos/pets/43561154/2/?bust=1545007136', 'http://photos.petfinder.com/photos/pets/43561154/3/?bust=1545007141']",Athena,43561154,F,L,A
20,Adult,Hound,"Meet ""Ollie"" a 1 year old male Hound mix. He is a sweetheart and adores the company of other dogs. He even gives kisses to his Arkansas siblings. He would do well with a family to give him exercise and a doggy sibling. He is good with cats and rides well in a car. ""Ollie"" is neutered and up to date with all vaccinations and micro-chipped. There is a $200 donation. Come meet ""Ollie"" on Saturdays from 12noon to 3PM at the Charleston Staten Island PETCO, 2752 Veterans Road West next to Home Depot. We do not ship animals. We only adopt out to the tri-state area. Please e-mail us at plutorescue@aol.com for more information.

 If interested in adopting ""Ollie"" you can download the pre-adoption application at the link below.

http://members.petfinder.com/â¦/pluto%20dog%20adoption%20appâ¦

","['http://photos.petfinder.com/photos/pets/43420196/1/?bust=1543613528', 'http://photos.petfinder.com/photos/pets/43420196/2/?bust=1544937724', 'http://photos.petfinder.com/photos/pets/43420196/3/?bust=1544937725']",Ollie,43420196,M,M,A
21,Adult,Yellow Labrador Retriever,"You can fill out an adoption application online on our official website.Malibu, born in late 2012, is a lab/chow mix with a great personality, mild energy and enjoys being close. She is leash trained and does well with basic commands. Malibu absolutely loves people and is extremely friendly. She does well on leash with other dogs. Off leash she is a bit reserved at first, taking her cues from the other dog, but quickly sniffs and accepts interaction with friendly dogs. If her new home has other dogs, she would do best with a well socialized male or a small pack of dogs her size. She's not a fan of small dogs or cats. She would love to go on walks and play in the yard with a family of her own! Malibu is spayed and up to date on vaccines. f you are interested in fostering or adopting Malibu, please fill out an application: www.rescuedogsrocknyc.org","['http://photos.petfinder.com/photos/pets/40785780/1/?bust=1533279486', 'http://photos.petfinder.com/photos/pets/40785780/2/?bust=1533279509', 'http://photos.petfinder.com/photos/pets/40785780/3/?bust=1533279526']",Malibu,40785780,F,M,A
22,Adult,German Shepherd Dog,Jaxon is a great dog.  He is very low energy and people oriented.   He weighs over a 100 pounds now; He is housebroken and does not misbehave when left alone; When Jax was first rescued he had little if any fur and was a skeleton. His prior owner rarely fed him and also decided he would try some home remedies for a health issue which  nearly killed him.; He is very attached to people and will lean on you if you stand still - and with his size - he can knock you over. If you are interested in meeting Jax email for an application to email to tristateshepherdrescue@gmail.com.,"['http://photos.petfinder.com/photos/pets/25344397/1/?bust=1423627390', 'http://photos.petfinder.com/photos/pets/25344397/2/?bust=1423627390', 'http://photos.petfinder.com/photos/pets/25344397/3/?bust=1423627390']",Jaxon,25344397,M,XL,A
23,Senior,Pit Bull Terrier,"MEET PETER QUILL!

Come and Get Your Love with Peter Quill! Pete was picked up as a stray and brought to Philly animal control, but managed to dance his way out of the shelter and into our hearts at City of Elderly Love!

According to his foster mom, you would never know this cool dude is estimated to be ten years old. Heâs the perfect mix of playful and obedient. Pete loves being active by going on walks to meet neighbors but also appreciates the simpler moments in life, like a good nap on his favorite pillow (hint: itâs all of them). He is funny and clever and will do anything to get his paws on his favorite KONG toys. He especially loves when theyâre filled with Honey Nut Cheerios and cream cheese!

PQ thrives on routine and has been doing a great job learning rules and boundaries since being in foster. He just wants to be included in whatever youâre doing. Pete is 100% trainable so heâs looking for someone who is able to put in time, attention, love to make him to be the best boy he can be!

Peter Quill is available for adoption through City of Elderly Love. He is neutered, vaccinated and microchipped. He is also heartworm and lymes disease negative. Interested in adopting him? Visit www.cityofelderlylove.org to complete an online adoption questionnaire or email us at info@cityofelderlylove.org!","['http://photos.petfinder.com/photos/pets/43000990/1/?bust=1539357332', 'http://photos.petfinder.com/photos/pets/43000990/2/?bust=1539357337', 'http://photos.petfinder.com/photos/pets/43000990/3/?bust=1539357345', 'http://photos.petfinder.com/photos/pets/43000990/4/?bust=1539357358', 'http://photos.petfinder.com/photos/pets/43000990/5/?bust=1539357365']",PETER QUILL!,43000990,M,M,A
24,Adult,German Shepherd Dog,"Age: 4Â Years old
Story: Poor Kota has beenÂ through a lot recently. First, he lost his owner when they passed away. His owner's parents took him in, but their dog began to fight with him and they had to find a friend to take him in to foster him.Â 
?
He has bounced around a great deal recently, but is still a sweet and kind dog who loves people. He is a purebred German Shepherd.Â After being picked on in the previous home, he is anxious around dogs, but he was dogÂ friendly before and with some time and patience could get along well with dogs again.Â 
?
For now we are looking for a home for himÂ as an only pet where he can finally have some stability and know he is finally home.","['http://photos.petfinder.com/photos/pets/43428622/1/?bust=1543671162', 'http://photos.petfinder.com/photos/pets/43428622/2/?bust=1543671167', 'http://photos.petfinder.com/photos/pets/43428622/3/?bust=1543671169', 'http://photos.petfinder.com/photos/pets/43428622/4/?bust=1543671170', 'http://photos.petfinder.com/photos/pets/43428622/5/?bust=1543671171', 'http://photos.petfinder.com/photos/pets/43428622/6/?bust=1543671172']",Kota,43428622,M,L,A
25,Young,"Terrier, American Staffordshire Terrier","Shane is a very young dog who loves everyone. He is a big puppy and loves playing with his toys or running in the yard.
Shane has not been exposed to cats so he is not sure what to do with them but he is not aggressive and because he is so young he can be easily trained to live with them. He is great with other dogs, well behaved on the leash and super cute.
Someone cropped his ears way too short, but he is still adorable with a super sweet face expression.","['http://photos.petfinder.com/photos/pets/42499055/1/?bust=1534475017', 'http://photos.petfinder.com/photos/pets/42499055/2/?bust=1544236530', 'http://photos.petfinder.com/photos/pets/42499055/3/?bust=1544236530']",SHANE,42499055,M,L,A
26,Baby,"Shepherd, Mixed Breed","Foster update: Virgil is a super sweet, curious, and calm pup. When he isn't napping, he loves to play with his lamby. He is already doing very well with weewee pad training and knows to sit for his treats! Virgil is a 10-week-old shepherd mix who is likely to be 50-60lbs fully grown. He is up to date on all age appropriate medical care and microchipped. This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is fill out an adoption application at www.muddypawsrescue.org. We will be in touch with you within 7 days of receiving your application!",[''],Virgil,43579770,M,M,A
27,Adult,Beagle,"You can fill out an adoption application online on our official website.Attention Beagle lovers! We sure do have a treat for you! Meet Princess! Princess is 2 years old, weighs 30 pounds, and comes into rescue from Texas. Can you believe this darling girl was abandoned at Pet Smart after her grooming appointment?! So here is what happened...Owners bring Princess to Pet Smart for a grooming appointment, they give a fake phone number and contact info and owners are never heard from again. Now Pet Smart has no choice but to call animal control to pick her up. Luckily one of our volunteers happens to hear about Princessâs dilemma and called us and asked if we could help. We of course said YES!! She is such a sweet and wonderful girl and we canât wrap our heads around someone ever wanting to let her go! She is fantastic with older kids, other dogs, and even cats! She will be spayed and up to date on vaccines prior to placement in her forever home. If you are looking for a precious beagle companion then Princess is the one for you! To adopt Princess please fill out an application here: http://www.rescuedogsrocknyc.org","['http://photos.petfinder.com/photos/pets/43242136/1/?bust=1544078835', 'http://photos.petfinder.com/photos/pets/43242136/2/?bust=1544078856', 'http://photos.petfinder.com/photos/pets/43242136/3/?bust=1544078878']",Princess,43242136,F,M,A
28,Young,"Terrier, Hound","If interested please call Gizela at 201-655-5059 for more information. Not all the animals posted come to our adoption days so call to see if the particular pet you are interested in will be at one of our locations or another time may be able to be arranged. Adoption fees apply and range but includes: clean bill of health, spay/neuter, vaccinations, heart worm testing, 1 year supply of heart worm preventative, micro-chipping & registration. Angels For Animals Network adopts to loving, indoor homes. We DO NOT adopt to anyone under 21 without parental consent. Please note that we DO NOT ship animals, and only adopt to the Tri-State area and some parts of Pennsylvania.  We prefer to keep our adoptions local, and strive to find the best homes for our rescued friends.  Once we review your application, we can better access if a specific animal is well-suited for your home environment and your lifestyle.   ***WE ALWAYS NEED FOSTER HOMES***",['http://photos.petfinder.com/photos/pets/34262953/1/?bust=1453054437'],Gaia,34262953,F,M,A
